_main                    1         MAIN                     -----     mainFunction             yes  -----                    
-----                    -----     -----                    -----     ROOT                     no   mainFunction             
[                        1         SQO                      -----     mainFunction             yes  -----                    
]                        1         SQC                      -----     mainFunction             yes  -----                    
int                      2         INT                      -----     type                     yes  -----                    
-----                    -----     -----                    -----     declarationStmt          no   type                     
-----                    -----     -----                    -----     stmt                     no   declarationStmt          
a                        2         ID                       -----     var_list                 yes  -----                    
-----                    -----     -----                    -----     declarationStmt          no   var_list                 
,                        2         COMMA                    -----     more_ids                 yes  -----                    
-----                    -----     -----                    -----     var_list                 no   more_ids                 
g                        2         ID                       -----     var_list                 yes  -----                    
-----                    -----     -----                    -----     more_ids                 no   var_list                 
,                        2         COMMA                    -----     more_ids                 yes  -----                    
-----                    -----     -----                    -----     var_list                 no   more_ids                 
h                        2         ID                       -----     var_list                 yes  -----                    
-----                    -----     -----                    -----     more_ids                 no   var_list                 
,                        2         COMMA                    -----     more_ids                 yes  -----                    
-----                    -----     -----                    -----     var_list                 no   more_ids                 
x                        2         ID                       -----     var_list                 yes  -----                    
-----                    -----     -----                    -----     more_ids                 no   var_list                 
-----                    -----     EPS                      -----     more_ids                 yes  -----                    
-----                    -----     -----                    -----     var_list                 no   more_ids                 
;                        2         SEMICOLON                -----     declarationStmt          yes  -----                    
-----                    -----     -----                    -----     stmtOrFunctionDef        no   stmt                     
-----                    -----     -----                    -----     stmtsAndFunctionDefs     no   stmtOrFunctionDef        
-----                    -----     -----                    -----     mainFunction             no   stmtsAndFunctionDefs     
real                     3         REAL                     -----     type                     yes  -----                    
-----                    -----     -----                    -----     declarationStmt          no   type                     
-----                    -----     -----                    -----     stmt                     no   declarationStmt          
b                        3         ID                       -----     var_list                 yes  -----                    
-----                    -----     -----                    -----     declarationStmt          no   var_list                 
,                        3         COMMA                    -----     more_ids                 yes  -----                    
-----                    -----     -----                    -----     var_list                 no   more_ids                 
z                        3         ID                       -----     var_list                 yes  -----                    
-----                    -----     -----                    -----     more_ids                 no   var_list                 
-----                    -----     EPS                      -----     more_ids                 yes  -----                    
-----                    -----     -----                    -----     var_list                 no   more_ids                 
;                        3         SEMICOLON                -----     declarationStmt          yes  -----                    
-----                    -----     -----                    -----     stmtOrFunctionDef        no   stmt                     
-----                    -----     -----                    -----     stmtsAndFunctionDefs     no   stmtOrFunctionDef        
-----                    -----     -----                    -----     x                        no   stmtsAndFunctionDefs     
matrix                   4         MATRIX                   -----     type                     yes  -----                    
